"Item","Category","Vendor","Par","Bottle size","Case pack","Vendor item #","VOLUME (high volume / slow mover)","BUY (bottle / case / rule)","NOTES"
"Sycamore Lane Chardonnay","Beer/Wine","Southern","12 bottles","750 ml","12/case","510365","","",""
"Vueve Clicquot","Beer/Wine","Southern","0.5 cases","","24/case?","","","",""
"Agave Syrup","Mixers/Garnishes","Chef Orders","2 gal","","","","","",""
"Angostura Bitters","Mixers/Garnishes","Southern","1 case","","12/case","334995","","",""
"Apple Juice Boxes","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Blackberries","Mixers/Garnishes","Chef Orders","6 flats","","","","","",""
"Bloody Mary Mix","Mixers/Garnishes","Southern","1 case","","12/case","972007","","",""
"Cherries (Luxardo)","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Cherries (Maraschino)","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"cinnamon sticks","Mixers/Garnishes","Chef Orders","1","","","","","",""
"Coconut Syrup","Mixers/Garnishes","Southern","1 case","","6/case","981539","","",""
"Coffee","Mixers/Garnishes","Chef Orders","2 regular","","","","","",""
"Coke","Mixers/Garnishes","Chef Orders","2 bibs","","","","","",""
"Coke Zero","Mixers/Garnishes","Chef Orders","1 bib","","","","","",""
"Cranberry","Mixers/Garnishes","Chef Orders","2 bibs","","","","","",""
"Cucumbers","Mixers/Garnishes","Chef Orders","12","","","","","",""
"Diet Coke","Mixers/Garnishes","Chef Orders","1 bib","","","","","",""
"Dr. Pepper","Mixers/Garnishes","Chef Orders","1 bib","","","","","",""
"Dried Fruit","Mixers/Garnishes","Chef Orders","2 boxes each","","","","","",""
"Espresso Mix","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Falernum Syrup","Mixers/Garnishes","Southern","1 case","","","","","",""
"Fever Tree Espresso","Mixers/Garnishes","Gate City","2 cases","","8/case","67682","","",""
"Ginger Beer","Mixers/Garnishes","Gate City","2 cases","","24/case","67698","","",""
"Grenadine","Mixers/Garnishes","Southern","1 case","","6/case","91282","","",""
"Lemon Juice","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Lemonade","Mixers/Garnishes","Chef Orders","1 bib","","","","","",""
"Lemons","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Lime Juice","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Limes","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Lychee Syrup","Mixers/Garnishes","Gate City","6 bottles","","6/case","133196CW","","",""
"Maple Syrup","Mixers/Garnishes","Chef Orders","1 gal","","","","","",""
"Mint","Mixers/Garnishes","Chef Orders","2 boxes","","","","","",""
"Orange Bitters","Mixers/Garnishes","Southern","1 case","","","","","",""
"Orange Juice","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Oranges","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Pineapple Juice","Mixers/Garnishes","Chef Orders","2 cases","","","","","",""
"Prickly Pear Syrup","Mixers/Garnishes","Southern","1 case","","6/case","981540","","",""
"Rasp Tea","Mixers/Garnishes","Chef Orders","1 bib","","","","","",""
"Simple Syrup","Mixers/Garnishes","Chef Orders","3 gal","","","","","",""
"Sprite","Mixers/Garnishes","Chef Orders","2 bibs","","","","","",""
"Strawberries","Mixers/Garnishes","Chef Orders","6 flats","","","","","",""
"Tajin","Mixers/Garnishes","Chef Orders","1 case","","","","","",""
"Tonic","Mixers/Garnishes","Chef Orders","1 bib","","","","","",""
